@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
0.921165,-0.000000,0.00
0.980697,-0.000000,1.00
0.932589,-0.000000,1.00
0.914149,-0.000000,1.00
0.944238,-0.000000,0.00
0.946045,-0.000000,0.00
0.925960,-0.000000,1.00
0.860324,-0.000000,1.00
0.585666,-0.000000,0.00
0.543005,0.033041,1.00
0.594836,-0.000000,0.00
0.540983,-0.000000,0.00
0.564888,-0.000000,0.00
0.568080,-0.010435,0.00
0.549191,-0.000000,0.00
0.572049,0.010725,0.00
0.568270,-0.000000,0.00
0.549951,0.014999,0.00
0.541374,-0.000000,0.00
0.999593,-0.002105,1.00
0.993254,-0.000000,0.00
0.996781,-0.000000,0.00
0.987941,-0.000000,0.00
0.999725,-0.000000,1.00
0.830934,-0.000000,0.00
0.841973,-0.000000,0.00
0.849775,-0.000000,0.00
0.754763,-0.000000,0.00
0.848627,-0.003807,0.00
0.793379,-0.000000,0.00
0.749688,-0.000000,0.00
0.857723,-0.000000,0.00
0.753223,0.005121,0.00
0.772107,-0.000000,0.00
0.815733,-0.008428,1.00
0.835449,-0.000000,0.00
0.809904,-0.000000,1.00
0.830050,0.007945,0.00
0.755263,-0.000000,0.00
0.879516,-0.000000,1.00
0.723756,-0.000000,0.00
0.790280,-0.000000,0.00
0.795398,-0.000000,0.00
0.698908,-0.000000,0.00
0.680652,-0.000000,1.00
0.683212,-0.000000,0.00
0.625914,-0.007439,0.00
0.712242,-0.000000,0.00
0.660092,-0.000000,0.00
0.714726,-0.000000,1.00
0.673899,-0.000000,0.00
0.703212,-0.010824,0.00
0.659978,-0.000000,0.00
0.630757,-0.000000,0.00
0.585118,-0.000000,0.00
0.660415,-0.000000,0.00
0.655943,-0.000000,0.00
0.679369,-0.006717,0.00
0.664417,-0.000000,0.00
0.666437,-0.000000,0.00
0.709951,-0.000000,0.00
0.667493,-0.008846,1.00
0.671992,-0.000000,0.00
0.673111,-0.007053,0.00
0.670124,-0.000000,0.00
0.601814,-0.000000,0.00
0.715152,-0.000000,0.00
0.960889,-0.000000,0.00
0.930275,-0.000000,0.00
0.910673,-0.000000,0.00
0.911860,-0.000000,1.00
0.924804,-0.000000,1.00
0.904949,-0.000000,1.00
0.970023,-0.000000,1.00
0.935206,-0.000000,1.00
0.901568,-0.000000,1.00
0.874880,-0.000000,0.00
0.541798,-0.000000,0.00
0.549548,-0.000000,0.00
0.568306,-0.000000,0.00
0.541697,-0.000000,0.00
0.552812,0.034040,0.00
0.541916,-0.000000,0.00
0.543102,-0.000000,0.00
0.576408,0.012090,1.00
0.550002,0.033617,0.00
0.575846,0.087752,0.00
0.566277,-0.000000,0.00
0.997249,-0.000000,1.00
0.999976,-0.000000,1.00
0.993968,-0.000000,0.00
0.999807,0.002078,1.00
0.999984,-0.000000,1.00
