MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
9/9/2022,ΕΛΒ2,Σαφχάουζεν,Ααράου,1,1,73,-35.7559,0.2955,0.2227,0.4818,0,0,0,1.1044,-0.3,0.8696,0
9/9/2022,ΓΑΛ3,Σολέ,Ορλεάν,0,1,162,-48.2939,0.3084,0.2776,0.414,1,0,0,1.4496,0.3,1.8681,0
9/9/2022,ΓΕΡ2,Χόλσταϊν Κίελ,Αμβούργο,1,1,64,-142.6448,0.2655,0.2428,0.4918,1,0,0,2.3509,0,2.6761,0
9/10/2022,ΟΛΛ1,Άγιαξ,Χέρενφεν,0,1,36,363.057,0.8273,0.1172,0.0554,-1,0,0,3.1774,1.8,1.3187,0
9/10/2022,ΣΑΡ,Αλ Νασρ Ριγιάντ,Ντχαμκ,0,1,103,126.6584,0.6838,0.19,0.1262,-1,0,0,1.1695,0.5,0.9934,0
9/10/2022,ΠΕΡ1,Αλιάνσα Λίμα,Ακαντέμια Καντολάο,0,1,21,143.2224,0.7559,0.1613,0.0828,-1,0,0,0.9457,0.2,0.458,0
9/10/2022,ΛΕΤ1,Άουντα ,Μέτα-Λου,0,1,4,247.4578,0.7545,0.1593,0.0862,-2,0,0,0.8354,-0.2,0.4382,0
9/10/2022,ΓΕΡΛ,Βικτόρια Βερολίνου,Τένις Μπορούσια Βερολίνου,0,1,17,-61.8663,0.6886,0.1821,0.1292,0,0,0,0.3432,-0.5,0.9524,0
9/10/2022,ΦΙΝ3,ΒΙΦΚ,Βαζακόφσκι,1,1,254,64.2404,0.6984,0.18,0.1216,-2,0,0,0.7618,0.4,0.4265,0
9/10/2022,ΓΕΡΛ,Βούρτσμπουργκερ Κίκερς,TSV Μπούτσμπαχ,0,1,17,11.3429,0.7476,0.1594,0.093,-1,0,0,1.5635,0.9,0.6433,0
9/10/2022,ΙΑΠ1,Γιοκοχάμα Μαρίνος,Φουκουόκα,0,1,13,83.3634,0.6993,0.1882,0.1125,-1,0,0,1.1874,1.1,1.0596,0
9/10/2022,ΦΙΝ2,Γνίνσταν,Πίφ Παράϊνεν,0,1,120,32.255,0.6747,0.1849,0.1404,-1,0,0,0.3822,0.4,0.5694,0
9/10/2022,ΝΟΡ3,Έγκερσουντ,Στααλ Γιόρπελαντ,0,1,239,71.175,0.811,0.1156,0.0734,-1,0,0,0.5091,0.3714,0.4833,0
9/10/2022,n/a,Κέιπ Τάουν Σίτι,Οτόχο,0,1,65,47.5692,0.7238,0.1855,0.0908,0,0,0,1.0479,0.375,1.1299,0
9/10/2022,ΑΛΓ1,ΚΣ Κονσταντίν,Τσέλγκουμ Λέιντ,0,1,98,138.8473,0.7286,0.187,0.0843,-1,0,0,0.7521,0,0.4972,0
9/10/2022,ΙΣΡ,Μακάμπι Χάιφα,Σέκτζια Νες Ζιόνα,0,1,62,328.6259,0.8724,0.0959,0.0318,-2,0,0,1.5045,1.8,0.8696,0
9/10/2022,ΝΑΦ1,Μαμελόντι Σαντ.,Λάμοντβιλ Γκ. Αρ.,0,1,107,179.8258,0.7726,0.1555,0.0719,-1,0,0,1.7666,1,0.5941,0
9/10/2022,ΓΕΡ1,Μπάγερν,Στουτγκάρδη,0,1,74,276.7612,0.8167,0.12,0.0633,-1,0,0,3.0727,1.4,0.8791,0
9/10/2022,ΓΕΡΛ,Μπάγερν Μονάχου 2,Χαϊμστέτεν,0,1,17,185.2928,0.7244,0.1543,0.1213,0,0,0,0.7174,-0.4,0.6787,0
9/10/2022,n/a,Μπαμέντα,Ελγκέκο Πλας,0,1,65,-25.3423,0.678,0.2016,0.1204,0,0,0,0.3062,-0.6667,0.9901,0
9/10/2022,ΣΟΥ2,Μπρομαποϊκάρνα,Λαντσκρόνα,0,1,77,198.2643,0.6626,0.1962,0.1413,-1,0,0,1.8549,1.3,0.687,0
9/10/2022,ΙΤΑ1,Νάπολι,Σπέτσια,0,1,39,218.4238,0.7711,0.1493,0.0796,-1,0,0,1.408,0.1,0.596,0
9/10/2022,ΙΑΠ2,Νιγκάτα Άλμπιρεξ ,Ριούκιου,0,1,23,78.3027,0.6676,0.2067,0.1257,0,0,0,1.5191,0.6,0.9091,0
9/10/2022,ΓΕΡΛ,Ούλμ 1846,Ροτ Βάις Κομπλένζ,0,1,17,205.061,0.7474,0.1696,0.083,-1,0,0,0.8755,0.3,0.2762,0
9/10/2022,ΦΙΝ3,Ούλου,Κομέετατ,0,1,254,91.8052,0.7507,0.1491,0.1002,-1,0,0,0.3915,-0.1,0.3896,0
9/10/2022,ΦΕΡ2,Ούντρι FF,Ρουνάβικ ΙΙ,0,1,464,51.7115,0.748,0.1506,0.1014,-2,0,0,1.0396,-0.1,0.4739,0
9/10/2022,ΓΑΛ1,Παρί Σεν Ζερμέν,Μπρεστ,0,1,67,315.8706,0.905,0.0639,0.0311,-1,0,0,1.9829,2.8,0.3665,0
9/10/2022,ΠΟΡΤ,Πόρτο,Τσάβες,0,1,119,281.4122,0.8125,0.1337,0.0538,-1,0,0,1.956,1,0.6306,0
9/10/2022,ΓΕΡΛ,Ροντινγκχάουζεν,Φορτούνα Ντίσελντορφ 2,0,1,17,66.339,0.7226,0.179,0.0984,0,0,0,0.8522,0,0.596,0
9/10/2022,ΟΚΡΝ,Σαχτάρ Ντόνετσκ,Τσερνομόρετς,0,1,59,294.7124,0.7952,0.1448,0.06,-2,0,0,0.771,0.1,0.5179,0
9/10/2022,ΠΟΡΤ,Σπόρτινγκ Λισαβόνας,Πορτιμονένσε,0,1,119,240.5059,0.7459,0.1655,0.0886,0,0,0,3.042,0.6,1.9672,0
9/10/2022,ΒΟΥ1,Τσέρνο Μόρε Βάρνα,Χεμπάρ Παζάρντζίκ,0,1,35,137.6508,0.7731,0.1477,0.0793,-2,0,0,0.6893,1,0.4072,0
9/10/2022,ΙΤΑ3,Φεράλπι Σάλο,Προ Πάτρια,1,1,43,101.3734,0.684,0.2183,0.0977,-1,0,0,0.9378,0.7,0.7285,0
9/10/2022,ΙΣΛ2,Φιλκίρ Ρέικιαβικ,Θροτούρ Βόγκαρ,0,1,255,247.074,0.9328,0.0594,0.0078,-2,0,0,1.3863,2.6,0.3448,0
9/10/2022,ΦΙΝ3,EPS,Κλούμπι 04,0,1,254,-93.5231,0.2112,0.2027,0.5862,-1,0,0,0.691,-0.1,0.5498,0
9/10/2022,n/a,KMKM,Αλ Αχλί Τρίπολη,1,1,65,-3.8575,0.133,0.2471,0.6199,0,1.5,0,1.1023,0.5333,1.1881,1.5
9/10/2022,ΠΟΛ2,SKRA Τσεστόκοβα,Άρκα Γκντίνια 1929,1,1,47,-51.2317,0.1745,0.2584,0.5672,0,0,0,0.7971,-0.9,1.0891,0
9/10/2022,n/a,Zalan FC,Γιανγκ Άφρικανς,1,1,65,3.6472,0.0416,0.1084,0.85,0,1.5,0,1.1023,0.2,1.1881,1.5
9/10/2022,ΚΥΠ1,Ακριτας Χλωρακας,Πάφος,1,1,71,9.5846,0.1248,0.2195,0.6557,0,1.5,0,1.3932,0.4,1.3187,1.5
