@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
1.000000,43.000000,0.000000,0.352200,0.303400,0.344400,0.000000,1.500000,1.500000,1.002800,0.000000,0.991700,0.000000,0.00
1.000000,39.000000,0.000000,0.398300,0.281300,0.320400,0.000000,1.500000,1.500000,0.957800,0.000000,0.991700,0.000000,0.00
1.000000,38.000000,0.000000,0.375100,0.283400,0.341500,0.000000,1.500000,1.500000,1.016400,0.000000,0.991700,0.000000,0.00
1.000000,42.000000,0.000000,0.399600,0.332100,0.268300,0.000000,1.500000,1.500000,0.980100,0.000000,0.991700,0.000000,0.00
1.000000,56.000000,0.000000,0.438700,0.283300,278.000000,0.000000,1.500000,1.500000,975.000000,0.000000,0.991700,0.000000,1.00
1.000000,49.000000,0.000000,0.426700,0.300500,0.272800,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,0.00
1.000000,57.000000,0.000000,0.366400,0.313500,0.320100,0.000000,1.500000,1.500000,1.089100,0.000000,0.991700,0.000000,0.00
1.000000,58.000000,0.000000,0.350700,0.328100,0.321200,0.000000,1.500000,1.500000,1.014800,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.367900,0.296400,0.335700,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,0.00
1.000000,44.000000,0.000000,0.350200,0.307500,0.342300,0.000000,1.500000,1.500000,0.976200,0.000000,0.991700,0.000000,0.00
1.000000,59.000000,0.000000,0.426300,0.306300,0.267500,0.000000,1.500000,1.500000,1.064500,0.000000,0.991700,0.000000,0.00
1.000000,40.000000,0.000000,429.000000,0.308200,0.262800,0.000000,1.500000,1.500000,1.018500,0.000000,0.991700,0.000000,1.00
1.000000,60.000000,0.000000,0.440400,0.251300,0.308400,0.000000,1.500000,1.500000,0.967500,0.000000,0.991700,0.000000,1.00
1.000000,48.000000,0.000000,0.357500,0.321200,0.321200,0.000000,1.500000,1.500000,0.992800,0.000000,0.991700,0.000000,1.00
1.000000,61.000000,0.000000,0.350800,0.290300,359.000000,0.000000,1.500000,1.500000,0.599700,0.000000,0.991700,0.000000,0.00
1.000000,62.000000,0.000000,0.349600,0.300800,0.349600,0.000000,1.500000,1.500000,0.960400,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.340800,326.000000,0.333200,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,0.00
1.000000,45.000000,0.000000,0.484600,0.259900,0.255500,0.000000,1.500000,1.500000,955.000000,0.000000,0.991700,0.000000,0.00
1.000000,11.000000,0.000000,0.452200,0.278900,0.268800,0.000000,1.500000,1.500000,1.030700,0.000000,0.991700,0.000000,1.00
1.000000,49.000000,0.000000,0.464200,0.306300,0.229500,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,1.00
1.000000,27.000000,0.000000,0.426900,0.294800,0.278200,0.000000,1.500000,1.500000,0.978500,0.000000,0.991700,0.000000,0.00
1.000000,14.000000,0.000000,0.358700,274.000000,0.367300,0.000000,1.500000,1.500000,0.972600,0.000000,0.991700,0.000000,1.00
1.000000,50.000000,0.000000,0.358700,274.000000,0.367300,0.000000,1.500000,1.500000,0.986100,0.000000,0.991700,0.000000,1.00
1.000000,15.000000,0.000000,0.445200,0.307100,0.247600,0.000000,1.500000,1.500000,0.961900,0.000000,0.991700,0.000000,0.00
1.000000,10.000000,0.000000,0.416700,0.328100,0.255300,0.000000,1.500000,1.500000,0.995800,0.000000,0.991700,0.000000,1.00
1.000000,63.000000,0.000000,0.462800,0.271100,0.266100,0.000000,1.500000,1.500000,0.933300,0.000000,0.991700,0.000000,0.00
1.000000,35.000000,0.000000,0.368700,0.315700,0.315700,0.000000,1.500000,1.500000,1.006200,0.000000,0.991700,0.000000,0.00
1.000000,23.000000,0.000000,0.348800,0.294100,357.000000,0.000000,1.500000,1.500000,1.012700,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.404500,0.306700,0.288800,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,1.00
1.000000,25.000000,0.000000,0.435300,0.249500,0.315300,0.000000,1.500000,1.500000,0.992700,0.000000,0.991700,0.000000,0.00
1.000000,60.000000,0.000000,0.385500,0.238400,0.376100,0.000000,1.500000,1.500000,0.967500,0.000000,0.991700,0.000000,0.00
1.000000,52.000000,0.000000,0.340700,0.293900,0.365400,0.000000,1.500000,1.500000,0.977900,0.000000,0.991700,0.000000,0.00
1.000000,48.000000,0.000000,0.443600,0.318100,0.238200,0.000000,1.500000,1.500000,0.992800,0.000000,0.991700,0.000000,0.00
1.000000,20.000000,0.000000,0.476200,0.280800,243.000000,0.000000,1.500000,1.500000,992.000000,0.000000,0.991700,0.000000,0.00
1.000000,64.000000,0.000000,0.421900,0.264800,0.313300,0.000000,1.500000,1.500000,0.976500,0.000000,0.991700,0.000000,0.00
1.000000,14.000000,0.000000,0.476800,0.252200,271.000000,0.000000,1.500000,1.500000,0.972600,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.382800,299.000000,0.318200,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,1.00
1.000000,12.000000,0.000000,0.427300,259.000000,0.313700,0.000000,1.500000,1.500000,0.986200,0.000000,0.991700,0.000000,0.00
1.000000,10.000000,0.000000,0.428700,0.335900,0.235400,0.000000,1.500000,1.500000,0.995800,0.000000,0.991700,0.000000,0.00
1.000000,65.000000,0.000000,0.383800,0.333400,0.282800,0.000000,1.500000,1.500000,0.920600,0.000000,0.991700,0.000000,1.00
1.000000,56.000000,0.000000,0.366500,0.283800,0.349700,0.000000,1.500000,1.500000,975.000000,0.000000,0.991700,0.000000,0.00
1.000000,46.000000,0.000000,0.436800,287.000000,0.276200,0.000000,1.500000,1.500000,0.986900,0.000000,0.991700,0.000000,0.00
